"STRAT_P","PHYID_P","MAILWGT","POPDOC","SPECCAT","IPAPHO","MCAIDINS","MCAREINS","OWNS1","NPCMH","NACO","NP4P","NMU","MIPS","APM","NOPROG","UNKPROG","EMEDREC","HHSMU","EHRSAT","ESDOH","EBEHAV","ECPOE","ESCRIP","TELEMEDICINE","TELEMEDPCT","TELEMEDTOOL1","TELEMEDTOOL2","TELEMEDTOOL3","TELEMEDTOOL4","TELEMEDTOOL5","TELEMEDISSUES1","TELEMEDISSUES2","TELEMEDISSUES3","TELEMEDISSUES4","TELEMEDISSUES5","TELEMEDISSUES6","TELEMEDQUAL","TELEMEDSAT","TELEMEDCONT","CSFREQ","CSELECT","PDMPFREQ","PDMPCHECK","PDMPSTATE","PDMP1","PDMP2","PDMP3","PDMP4","PDMP5","PDMP6","PDMP7","PDMP8","PDMP9","METHSEHRWEB","METHREHRWEB","NSEARCH","INTPHI","CINPOC","EUSEPHIOUT","TIMEOUT","STAFFSUP","EASEDOC","TIMEDOC","WCOMPEMR","COMPTYPE","WAVECOMP","MDDO","PHYSEX","PAGE50","DISPEMR","YEAR","PSIZECAT_P","NUMLOC_P","SETTING_P","EHRNAME"
149.0,7234.0,150.98064,5260.91082,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,-8.0,3.0,4.0,1.0,2.0,-9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-8.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2021.0,2.0,1.0,2.0,11.0
149.0,2804.0,151.05975,5260.91082,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,2021.0,4.0,1.0,2.0,8.0
149.0,4174.0,151.05975,5260.91082,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,2.0,2.0,1.0,-8.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2021.0,3.0,1.0,1.0,10.0
149.0,5300.0,151.05975,5260.91082,1.0,-9.0,1.0,2.0,-9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-9.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,-9.0,1.0,2.0,3.0,-8.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,2.0,2.0,6.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2021.0,3.0,1.0,1.0,10.0
149.0,5248.0,151.05975,5260.91082,1.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,4.0,1.0,1.0,10.0
149.0,7290.0,151.05975,5260.91082,1.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,-8.0,1.0,4.0,2.0,2.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2021.0,3.0,2.0,2.0,8.0
149.0,6856.0,152.50408,5260.91082,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,-8.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2021.0,2.0,1.0,1.0,-7.0
149.0,8389.0,152.50408,5260.91082,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,-8.0,-8.0,1.0,1.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,3.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2021.0,1.0,2.0,1.0,11.0
149.0,10294.0,145.67937,5260.91082,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-8.0,2.0,2.0,-8.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2021.0,3.0,1.0,1.0,6.0
149.0,1185.0,145.67937,5260.91082,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-8.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2021.0,3.0,2.0,1.0,11.0
